name,draft_year,overall_pick,position,organization,organization_type,draft_team_abbreviation,height_wo_shoes_in,height_w_shoes_in,weight_lbs,wingspan_in,standing_reach_in,body_fat_pct,hand_length_in,hand_width_in,standing_vertical_leap_in,max_vertical_leap_in,lane_agility_time_sec,modified_lane_agility_time_sec,three_quarter_sprint_sec,bench_press_reps,ncaa_conf,ncaa_pos,ncaa_exp,ncaa_height,ncaa_games,ncaa_mpg,ncaa_ppg,ncaa_fg_pct,ncaa_two_pct,ncaa_three_pct,ncaa_ft_pct,ncaa_oreb,ncaa_dreb,ncaa_rpg,ncaa_apg,ncaa_ast_to,ncaa_spg,ncaa_bpg,ncaa_tpg,ncaa_ortg,ncaa_adj_oe,ncaa_drtg,ncaa_porpag,ncaa_dporpag,ncaa_bpm,ncaa_obpm,ncaa_dbpm,ncaa_usage,birth_date,draft_age
kenyon martin,2000,1.0,,Cincinnati,College/University,NJN,,,,,,,,,,,,,,,CUSA,,,,31.0,29.3,18.9,0.568,0.573,0.286,0.684,,,9.7,1.4,,1.4,3.5,1.8,,,,,,,,,,1977-12-30,22.494
stromile swift,2000,2.0,,Louisiana State,College/University,VAN,,,,,,,,,,,,,,,SEC,,,,34.0,29.8,16.2,0.608,0.634,0.28,0.617,,,8.2,0.9,,1.5,2.8,2.4,,,,,,,,,,1979-11-21,20.602
darius miles,2000,3.0,,East St. Louis,High School,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981-10-09,18.719
marcus fizer,2000,4.0,,Iowa State,College/University,CHI,,,,,,,,,,,,,,,Big 12,,,,37.0,33.6,22.8,0.582,0.6,0.357,0.732,,,7.7,1.1,,0.8,1.1,2.1,,,,,,,,,,1978-08-10,21.884
mike miller,2000,5.0,,Florida,College/University,ORL,,,,,,,,,,,,,,,SEC,,,,37.0,28.6,14.1,0.476,0.559,0.338,0.729,,,6.6,2.5,,1.2,0.4,1.9,,,,,,,,,,1980-02-19,20.356
dermarr johnson,2000,6.0,,Cincinnati,College/University,ATL,,,,,,,,,,,,,,,CUSA,,,,32.0,27.5,12.6,0.478,0.575,0.371,0.737,,,3.8,1.4,,1.0,0.9,1.4,,,,,,,,,,1980-05-05,20.148
chris mihm,2000,7.0,,Texas,College/University,CHI,,,,,,,,,,,,,,,Big 12,,,,33.0,30.7,17.7,0.523,0.525,0.467,0.707,,,10.5,0.7,,0.3,2.7,2.5,,,,,,,,,,1979-07-16,20.953
jamal crawford,2000,8.0,PG-SG,Michigan,College/University,CLE,76.5,,175.0,82.0,102.5,,,,,,,,,0.0,Big Ten,,,,17.0,33.9,16.6,0.412,0.468,0.327,0.784,,,2.8,4.5,,1.1,0.9,3.1,,,,,,,,,,1980-03-20,20.274
joel przybilla,2000,9.0,,Minnesota,College/University,HOU,,,,,,,,,,,,,,,Big Ten,,,,21.0,30.4,14.2,0.613,0.613,,0.495,,,8.4,2.4,,0.8,3.9,3.7,,,,,,,,,,1979-10-10,20.717
keyon dooling,2000,10.0,,Missouri,College/University,ORL,,,,,,,,,,,,,,,Big 12,,,,31.0,31.7,15.3,0.389,0.424,0.347,0.743,,,2.7,3.6,,1.4,0.5,2.5,,,,,,,,,,1980-05-08,20.14
