name,draft_year,overall_pick,birth_date,draft_date,draft_age,birth_date_source,id_source
kenyon martin,2000,1.0,1977-12-30,2000-06-25,22.486,nba_api_commonplayerinfo,draft_history_person_id
stromile swift,2000,2.0,1979-11-21,2000-06-25,20.594,nba_api_commonplayerinfo,draft_history_person_id
darius miles,2000,3.0,1981-10-09,2000-06-25,18.71,nba_api_commonplayerinfo,draft_history_person_id
marcus fizer,2000,4.0,1978-08-10,2000-06-25,21.875,nba_api_commonplayerinfo,draft_history_person_id
mike miller,2000,5.0,1980-02-19,2000-06-25,20.348,nba_api_commonplayerinfo,draft_history_person_id
dermarr johnson,2000,6.0,1980-05-05,2000-06-25,20.14,nba_api_commonplayerinfo,draft_history_person_id
chris mihm,2000,7.0,1979-07-16,2000-06-25,20.945,nba_api_commonplayerinfo,draft_history_person_id
jamal crawford,2000,8.0,1980-03-20,2000-06-25,20.266,nba_api_commonplayerinfo,draft_history_person_id
joel przybilla,2000,9.0,1979-10-10,2000-06-25,20.709,nba_api_commonplayerinfo,draft_history_person_id
keyon dooling,2000,10.0,1980-05-08,2000-06-25,20.131,nba_api_commonplayerinfo,draft_history_person_id
jerome moiso,2000,11.0,1978-06-15,2000-06-25,22.029,nba_api_commonplayerinfo,draft_history_person_id
etan thomas,2000,12.0,1978-04-01,2000-06-25,22.234,nba_api_commonplayerinfo,draft_history_person_id
courtney alexander,2000,13.0,1977-04-27,2000-06-25,23.162,nba_api_commonplayerinfo,draft_history_person_id
mateen cleaves,2000,14.0,1977-09-07,2000-06-25,22.798,nba_api_commonplayerinfo,draft_history_person_id
jason collier,2000,15.0,1977-09-08,2000-06-25,22.795,nba_api_commonplayerinfo,draft_history_person_id
hedo turkoglu,2000,16.0,1979-03-19,2000-06-25,21.27,nba_api_commonplayerinfo,draft_history_person_id
desmond mason,2000,17.0,1977-10-11,2000-06-25,22.705,nba_api_commonplayerinfo,draft_history_person_id
quentin richardson,2000,18.0,1980-04-13,2000-06-25,20.2,nba_api_commonplayerinfo,draft_history_person_id
jamaal magloire,2000,19.0,1978-05-21,2000-06-25,22.097,nba_api_commonplayerinfo,draft_history_person_id
speedy claxton,2000,20.0,1978-05-08,2000-06-25,22.133,nba_api_commonplayerinfo,draft_history_person_id
morris peterson,2000,21.0,1977-08-26,2000-06-25,22.831,nba_api_commonplayerinfo,draft_history_person_id
donnell harvey,2000,22.0,1980-08-26,2000-06-25,19.83,nba_api_commonplayerinfo,draft_history_person_id
deshawn stevenson,2000,23.0,1981-04-03,2000-06-25,19.228,nba_api_commonplayerinfo,draft_history_person_id
dalibor bagaric,2000,24.0,1980-07-02,2000-06-25,19.981,nba_api_commonplayerinfo,draft_history_person_id
jake tsakalidis,2000,25.0,1979-06-10,2000-06-25,21.043,nba_api_commonplayerinfo,draft_history_person_id
mamadou n diaye,2000,26.0,1975-06-16,2000-06-25,25.027,nba_api_commonplayerinfo,draft_history_person_id
primoz brezec,2000,27.0,1979-10-02,2000-06-25,20.731,nba_api_commonplayerinfo,draft_history_person_id
erick barkley,2000,28.0,1978-02-21,2000-06-25,22.341,nba_api_commonplayerinfo,draft_history_person_id
mark madsen,2000,29.0,1976-01-28,2000-06-25,24.408,nba_api_commonplayerinfo,draft_history_person_id
marko jaric,2000,30.0,1978-12-10,2000-06-25,21.541,nba_api_commonplayerinfo,draft_history_person_id
dan langhi,2000,31.0,1977-11-28,2000-06-25,22.574,nba_api_commonplayerinfo,draft_history_person_id
a j guyton,2000,32.0,1978-02-12,2000-06-25,22.366,nba_api_commonplayerinfo,draft_history_person_id
jake voskuhl,2000,33.0,1977-11-01,2000-06-25,22.648,nba_api_commonplayerinfo,draft_history_person_id
khalid el amin,2000,34.0,1979-04-25,2000-06-25,21.169,nba_api_commonplayerinfo,draft_history_person_id
mike smith,2000,35.0,1976-04-15,2000-06-25,24.194,nba_api_commonplayerinfo,draft_history_person_id
soumaila samake,2000,36.0,1978-03-18,2000-06-25,22.272,nba_api_commonplayerinfo,draft_history_person_id
eddie house,2000,37.0,1978-05-14,2000-06-25,22.116,nba_api_commonplayerinfo,draft_history_person_id
eduardo najera,2000,38.0,1976-07-11,2000-06-25,23.956,nba_api_commonplayerinfo,draft_history_person_id
lavor postell,2000,39.0,1978-02-26,2000-06-25,22.327,nba_api_commonplayerinfo,draft_history_person_id
hanno mottola,2000,40.0,1976-09-09,2000-06-25,23.792,nba_api_commonplayerinfo,draft_history_person_id
chris carrawell,2000,41.0,,2000-06-25,,common_player_info_error:KeyError,draft_history_person_id
olumide oyedeji,2000,42.0,1981-05-11,2000-06-25,19.124,nba_api_commonplayerinfo,draft_history_person_id
