name,draft_year,overall_pick,organization,reason,attempted_urls_count
ernest brown,2000,52.0,Indian Hills Community College,not_found,12
cory hightower,2000,54.0,Indian Hills Community College,not_found,12
kedrick brown,2001,11.0,Northwest Florida State,not_found,12
qyntel woods,2002,21.0,Northeast Mississippi Community College,not_found,12
flip murray,2002,41.0,Shaw,not_found,12
maciej lampe,2003,30.0,Madrid (ESP),not_found,12
jerome beasley,2003,33.0,North Dakota,not_found,12
donta smith,2004,34.0,Southeastern Illinois,not_found,12
david young,2004,41.0,North Carolina Central,not_found,12
ha ha,2004,46.0,Yonsei (KOR),not_found,12
sergei lishouk,2004,49.0,Miami (FL),not_found,12
