person_id,birth_date,birth_date_source,raw_display_first_last
-1,,common_player_info_error:KeyError,
199,1964-03-05,nba_api_commonplayerinfo,Reggie Williams
2030,1977-12-30,nba_api_commonplayerinfo,Kenyon Martin
2031,1979-11-21,nba_api_commonplayerinfo,Stromile Swift
2032,1981-10-09,nba_api_commonplayerinfo,Darius Miles
2033,1978-08-10,nba_api_commonplayerinfo,Marcus Fizer
2034,1980-02-19,nba_api_commonplayerinfo,Mike Miller
2035,1980-05-05,nba_api_commonplayerinfo,DerMarr Johnson
2036,1979-07-16,nba_api_commonplayerinfo,Chris Mihm
2037,1980-03-20,nba_api_commonplayerinfo,Jamal Crawford
2038,1979-10-10,nba_api_commonplayerinfo,Joel Przybilla
2039,1980-05-08,nba_api_commonplayerinfo,Keyon Dooling
2040,1978-06-15,nba_api_commonplayerinfo,Jerome Moiso
2041,1978-04-01,nba_api_commonplayerinfo,Etan Thomas
2042,1977-04-27,nba_api_commonplayerinfo,Courtney Alexander
2043,1977-09-07,nba_api_commonplayerinfo,Mateen Cleaves
2044,1977-09-08,nba_api_commonplayerinfo,Jason Collier
2045,1979-03-19,nba_api_commonplayerinfo,Hedo Turkoglu
2046,1977-10-11,nba_api_commonplayerinfo,Desmond Mason
2047,1980-04-13,nba_api_commonplayerinfo,Quentin Richardson
2048,1978-05-21,nba_api_commonplayerinfo,Jamaal Magloire
2049,1978-05-08,nba_api_commonplayerinfo,Speedy Claxton
2050,1977-08-26,nba_api_commonplayerinfo,Morris Peterson
2051,1980-08-26,nba_api_commonplayerinfo,Donnell Harvey
2052,1981-04-03,nba_api_commonplayerinfo,DeShawn Stevenson
2053,1980-07-02,nba_api_commonplayerinfo,Dalibor Bagaric
2054,1979-06-10,nba_api_commonplayerinfo,Jake Tsakalidis
2055,1975-06-16,nba_api_commonplayerinfo,Mamadou N'diaye
2056,1979-10-02,nba_api_commonplayerinfo,Primoz Brezec
2057,1978-02-21,nba_api_commonplayerinfo,Erick Barkley
2058,1976-01-28,nba_api_commonplayerinfo,Mark Madsen
2059,1976-07-11,nba_api_commonplayerinfo,Eduardo Najera
2060,1978-12-10,nba_api_commonplayerinfo,Marko Jaric
2061,1977-11-28,nba_api_commonplayerinfo,Dan Langhi
2062,1978-02-12,nba_api_commonplayerinfo,A.J. Guyton
2063,1977-11-01,nba_api_commonplayerinfo,Jake Voskuhl
2064,1979-04-25,nba_api_commonplayerinfo,Khalid El-Amin
2065,1976-04-15,nba_api_commonplayerinfo,Mike Smith
2066,1978-03-18,nba_api_commonplayerinfo,Soumaila Samake
2067,1978-05-14,nba_api_commonplayerinfo,Eddie House
2068,1978-02-26,nba_api_commonplayerinfo,Lavor Postell
2069,1976-09-09,nba_api_commonplayerinfo,Hanno Mottola
2070,,common_player_info_error:KeyError,
2071,1981-05-11,nba_api_commonplayerinfo,Olumide Oyedeji
2072,1979-08-24,nba_api_commonplayerinfo,Michael Redd
2073,1977-05-02,nba_api_commonplayerinfo,Brian Cardinal
2074,1977-02-12,nba_api_commonplayerinfo,Jabari Smith
2075,,common_player_info_error:KeyError,
2076,,common_player_info_error:KeyError,
2077,,common_player_info_error:KeyError,
2078,1978-04-29,nba_api_commonplayerinfo,Jason Hart
2079,1978-07-21,nba_api_commonplayerinfo,Kaniel Dickens
2080,1978-03-29,nba_api_commonplayerinfo,Igor Rakocevic
2081,1979-05-17,nba_api_commonplayerinfo,Ernest Brown
2082,1977-04-19,nba_api_commonplayerinfo,Dan McClintock
2083,,common_player_info_error:KeyError,
2084,1978-05-09,nba_api_commonplayerinfo,Chris Porter
2085,,common_player_info_error:KeyError,
2086,,common_player_info_error:KeyError,
2087,,common_player_info_error:KeyError,
2090,,common_player_info_error:KeyError,
2109,1978-08-16,nba_api_commonplayerinfo,Eddie Gill
2110,,common_player_info_error:KeyError,
2111,,common_player_info_error:KeyError,
2121,1976-12-30,nba_api_commonplayerinfo,Terrance Roberson
2124,1978-06-27,nba_api_commonplayerinfo,Malik Allen
2198,1982-03-10,nba_api_commonplayerinfo,Kwame Brown
2199,1982-10-02,nba_api_commonplayerinfo,Tyson Chandler
2200,1980-07-06,nba_api_commonplayerinfo,Pau Gasol
2201,1982-12-05,nba_api_commonplayerinfo,Eddy Curry
2202,1981-01-20,nba_api_commonplayerinfo,Jason Richardson
2203,1978-09-09,nba_api_commonplayerinfo,Shane Battier
2204,1982-05-30,nba_api_commonplayerinfo,Eddie Griffin
2205,1982-01-30,nba_api_commonplayerinfo,DeSagana Diop
2206,1980-06-28,nba_api_commonplayerinfo,Rodney White
2207,1981-06-29,nba_api_commonplayerinfo,Joe Johnson
2208,1981-03-18,nba_api_commonplayerinfo,Kedrick Brown
2209,1980-11-19,nba_api_commonplayerinfo,Vladimir Radmanovic
2210,1980-06-21,nba_api_commonplayerinfo,Richard Jefferson
2211,1980-05-02,nba_api_commonplayerinfo,Troy Murphy
2212,1981-10-31,nba_api_commonplayerinfo,Steven Hunter
2213,1979-03-10,nba_api_commonplayerinfo,Kirk Haston
2214,1979-04-18,nba_api_commonplayerinfo,Michael Bradley
2215,1978-12-02,nba_api_commonplayerinfo,Jason Collins
2216,1981-07-16,nba_api_commonplayerinfo,Zach Randolph
2217,1979-11-27,nba_api_commonplayerinfo,Brendan Haywood
2218,1981-03-23,nba_api_commonplayerinfo,Joseph Forte
2219,1979-02-13,nba_api_commonplayerinfo,Jeryl Sasser
2220,1980-06-16,nba_api_commonplayerinfo,Brandon Armstrong
2221,1980-04-15,nba_api_commonplayerinfo,Raul Lopez
2222,1982-07-23,nba_api_commonplayerinfo,Gerald Wallace
2223,1980-05-10,nba_api_commonplayerinfo,Samuel Dalembert
2224,1978-02-28,nba_api_commonplayerinfo,Jamaal Tinsley
2225,1982-05-17,nba_api_commonplayerinfo,Tony Parker
2226,1978-07-20,nba_api_commonplayerinfo,Will Solomon
2228,1981-05-29,nba_api_commonplayerinfo,Alton Ford
2230,1978-11-08,nba_api_commonplayerinfo,Maurice Evans
2238,1981-04-01,nba_api_commonplayerinfo,Antonis Fotsis
2239,1979-03-04,nba_api_commonplayerinfo,Trenton Hassell
2240,1982-01-06,nba_api_commonplayerinfo,Gilbert Arenas
2241,1982-01-28,nba_api_commonplayerinfo,Omar Cook
2242,1979-01-11,nba_api_commonplayerinfo,Terence Morris
2243,1978-03-18,nba_api_commonplayerinfo,Brian Scalabrine
2244,1979-07-11,nba_api_commonplayerinfo,Jeff Trepagnier
2245,1979-06-28,nba_api_commonplayerinfo,Damone Brown
2246,1979-05-26,nba_api_commonplayerinfo,Mehmet Okur
2247,,common_player_info_error:KeyError,
2248,1979-06-12,nba_api_commonplayerinfo,Earl Watson
2249,1980-11-19,nba_api_commonplayerinfo,Jamison Brewer
2250,1980-06-02,nba_api_commonplayerinfo,Bobby Simmons
2251,,common_player_info_error:KeyError,
2252,,common_player_info_error:KeyError,
2253,1979-09-03,nba_api_commonplayerinfo,Sean Lampley
2254,1978-06-21,nba_api_commonplayerinfo,Loren Woods
2255,,common_player_info_error:KeyError,
2256,1978-02-01,nba_api_commonplayerinfo,Ken Johnson
2257,1978-05-20,nba_api_commonplayerinfo,Ruben Boumtje-Boumtje
2259,1979-01-12,nba_api_commonplayerinfo,Andre Hutson
2260,1978-12-02,nba_api_commonplayerinfo,Jarron Collins
2261,1981-04-10,nba_api_commonplayerinfo,Kenny Satterfield
2262,,common_player_info_error:KeyError,
2263,,common_player_info_error:KeyError,
2264,1978-09-09,nba_api_commonplayerinfo,Alvin Jones
2265,,common_player_info_error:KeyError,
2294,1979-03-12,nba_api_commonplayerinfo,Charlie Bell
2369,1977-07-24,nba_api_commonplayerinfo,Norman Richardson
2386,,common_player_info_error:KeyError,
2397,1980-09-12,nba_api_commonplayerinfo,Yao Ming
2398,1981-09-10,nba_api_commonplayerinfo,Jay Williams
2399,1980-09-15,nba_api_commonplayerinfo,Mike Dunleavy
