mock_pick,mock_team,name,position,organization,espn_exp,mock_group,source
1,Washington Wizards,AJ Dybantsa,SF,BYU,freshman,top_5,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
2,Utah Jazz,Darryn Peterson,PG/SG,Kansas,freshman,top_5,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
3,Memphis Grizzlies,Cameron Boozer,PF/C,Duke,freshman,top_5,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
4,Chicago Bulls,Caleb Wilson,PF/C,North Carolina,freshman,top_5,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
5,LA Clippers (via Indiana),Keaton Wagler,PG/SG,Illinois,freshman,top_5,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
6,Brooklyn Nets,Darius Acuff Jr.,PG,Arkansas,freshman,picks_6_14,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
7,Sacramento Kings,Kingston Flemings,PG,Houston,freshman,picks_6_14,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
8,Atlanta Hawks (via New Orleans),Aday Mara,C,Michigan,junior,picks_6_14,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
9,Dallas Mavericks,Mikel Brown Jr.,PG,Louisville,freshman,picks_6_14,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
10,Milwaukee Bucks,Nate Ament,SF/PF,Tennessee,freshman,picks_6_14,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
11,Golden State Warriors,Brayden Burries,SG,Arizona,freshman,picks_6_14,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
12,Oklahoma City Thunder (via LA Clippers),Yaxel Lendeborg,PF/SF,Michigan,senior,picks_6_14,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
13,Miami Heat,Labaron Philon Jr.,PG/SG,Alabama,sophomore,picks_6_14,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
14,Charlotte Hornets,Karim Lopez (Mexico),SF/PF,New Zealand Breakers,,picks_6_14,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
15,Chicago Bulls (via Portland),Cameron Carr,SG/SF,Baylor,sophomore,picks_15_30,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
16,Memphis Grizzlies (via Phoenix),Christian Anderson,PG,Texas Tech,sophomore,picks_15_30,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
17,Oklahoma City Thunder (via Philadelphia),Morez Johnson Jr.,PF/C,Michigan,sophomore,picks_15_30,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
18,Charlotte Hornets (via Orlando),Hannes Steinbach,PF/C,Washington,freshman,picks_15_30,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
19,Toronto Raptors,Bennett Stirtz,PG,Iowa,senior,picks_15_30,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
20,San Antonio Spurs (via Atlanta),Jayden Quaintance,C,Kentucky,sophomore,picks_15_30,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
21,Detroit Pistons (via Minnesota),Isaiah Evans,SG,Duke,sophomore,picks_15_30,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
22,Philadelphia 76ers (via Houston),Allen Graves,PF,Santa Clara,freshman,picks_15_30,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
23,Atlanta Hawks (via Cleveland),Ebuka Okorie,PG,Stanford,freshman,picks_15_30,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
24,New York Knicks,Chris Cenac Jr.,PF/C,Houston,freshman,picks_15_30,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
25,Los Angeles Lakers,Henri Veesaar,C,North Carolina,junior,picks_15_30,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
26,Denver Nuggets,Dailyn Swain,SG/SF,Texas,junior,picks_15_30,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
27,Boston Celtics,Koa Peat,PF/SF,Arizona,freshman,picks_15_30,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
28,Minnesota Timberwolves (via Detroit),Meleek Thomas,PG/SG,Arkansas,freshman,picks_15_30,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
29,Cleveland Cavaliers (via San Antonio),Zuby Ejiofor,PF/C,St. John's,senior,picks_15_30,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
30,Dallas Mavericks (via Oklahoma City),Joshua Jefferson,SF/PF,Iowa State,senior,picks_15_30,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
31,New York Knicks (via Washington),Alex Karaban,SF/PF,UConn,senior,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
32,Memphis Grizzlies (via Indiana),Amari Allen,SF/PF,Alabama,freshman,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
33,Brooklyn Nets,Matt Able,SF,NC State,freshman,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
34,Sacramento Kings,Tounde Yessoufou,SF,Baylor,freshman,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
35,San Antonio Spurs (via Utah),Tyler Tanner,PG/SG,Vanderbilt,sophomore,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
36,LA Clippers (via Memphis),Malachi Moreno,C,Kentucky,freshman,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
37,Oklahoma City Thunder (via Dallas),Tarris Reed Jr.,PF/C,UConn,senior,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
38,Chicago Bulls (via New Orleans),Milan Momcilovic,PF/SF,Iowa State,junior,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
39,Houston Rockets (via Chicago),Luigi Suigo,C,"Mega Basket, Italy",,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
40,Boston Celtics (via Milwaukee),Jack Kayil,PG/SG,"Alba Berlin, Germany",,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
41,Miami Heat (via Golden State),Baba Miller,PF/C,Cincinnati,senior,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
42,San Antonio Spurs (via Portland),Flory Bidunga,C,Kansas,sophomore,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
43,Brooklyn Nets (via Clippers),Sergio de Larrea,PG/SG,"Valencia, Spain",,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
44,San Antonio Spurs (via Miami),Ryan Conwell,SG,Louisville,senior,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
45,Sacramento Kings (via Charlotte),Trevon Brazile,PF/C,Arkansas,senior,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
46,Orlando Magic,Braden Smith,PG,Purdue,senior,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
47,Phoenix Suns (via Philadelphia),Jeremy Fears Jr.,PG,Michigan State,sophomore,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
48,Dallas Mavericks (via Phoenix),Rueben Chinyelu,C,Florida,junior,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
49,Denver Nuggets (via Atlanta),Felix Okpara,C,Tennessee,senior,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
50,Toronto Raptors,Andrej Stojakovic,SG/SF,Illinois,junior,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
51,Washington Wizards (via Minnesota),Jaden Bradley,PG/SG,Arizona,senior,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
52,LA Clippers (via Cleveland),Richie Saunders,SG/SF,BYU,senior,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
53,Houston Rockets,Billy Richmond III,SG/SF,Arkansas,sophomore,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
54,Golden State Warriors (via Los Angeles Lakers),Ja'Kobi Gillespie,PG,Tennessee,senior,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
55,New York Knicks,Izaiyah Nelson,PF/C,South Florida,senior,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
56,Chicago Bulls (via Denver),Emanuel Sharp,SG,Houston,senior,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
57,Atlanta Hawks (via Boston),Nick Martinelli,SF/PF,Northwestern,senior,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
58,New Orleans Pelicans (via Detroit),Kylan Boswell,PG/SG,Illinois,senior,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
59,Minnesota Timberwolves (via San Antonio),Bruce Thornton,PG/SG,Ohio State,senior,second_round,"ESPN 2026 NBA mock draft, Jeremy Woo, May 19, 2026"
