model_rank,name,position,organization,predicted_group,ranked_model_group,draft_board_score,max_probability,prob_top_5,prob_picks_6_14,prob_picks_15_30,prob_second_round,prob_undrafted
1,cameron boozer,PF,Duke,top_5,top_5,3.955,0.661,0.661,0.168,0.098,0.048,0.025
2,caleb wilson,PF,North Carolina,top_5,top_5,3.463,0.531,0.531,0.19,0.158,0.081,0.04
3,keaton wagler,PG,Illinois,top_5,top_5,3.408,0.458,0.458,0.305,0.134,0.07,0.033
4,kingston flemings,PG,Houston,top_5,top_5,3.264,0.442,0.442,0.276,0.148,0.091,0.043
5,allen graves,PF,Santa Clara,top_5,top_5,3.188,0.433,0.433,0.269,0.162,0.073,0.063
6,anicet dybantsa,SF,BYU,top_5,picks_6_14,3.08,0.396,0.396,0.297,0.158,0.083,0.067
7,darryn peterson,SG,Kansas,picks_6_14,picks_6_14,3.026,0.357,0.336,0.357,0.184,0.079,0.043
8,koa peat,PF,Arizona,top_5,picks_6_14,2.879,0.326,0.326,0.308,0.23,0.078,0.058
9,hannes steinbach,C,Washington,top_5,picks_6_14,2.844,0.323,0.323,0.305,0.219,0.092,0.061
10,darius acuff,PG,Arkansas,picks_6_14,picks_6_14,2.78,0.402,0.271,0.402,0.15,0.112,0.064
11,ebuka okorie,PG,Stanford,picks_6_14,picks_6_14,2.73,0.328,0.307,0.328,0.174,0.095,0.097
12,amari allen,SF,Alabama,top_5,picks_6_14,2.705,0.349,0.349,0.204,0.238,0.132,0.077
13,brayden burries,SG,Arizona,top_5,picks_6_14,2.669,0.294,0.294,0.27,0.257,0.12,0.058
14,nathaniel ament,PF,Tennessee,picks_6_14,picks_6_14,2.662,0.335,0.271,0.335,0.219,0.1,0.075
15,tyler tanner,PG,Vanderbilt,picks_6_14,picks_15_30,2.505,0.286,0.278,0.286,0.192,0.145,0.1
16,morez johnson,PF,Michigan,picks_6_14,picks_15_30,2.468,0.284,0.242,0.284,0.275,0.126,0.072
17,tounde yessoufou,SG,Baylor,picks_6_14,picks_15_30,2.36,0.299,0.216,0.299,0.284,0.107,0.095
18,christopher cenac,PF,Houston,picks_15_30,picks_15_30,2.191,0.299,0.177,0.299,0.299,0.125,0.101
19,christopher brown,PG,Louisville,picks_6_14,picks_15_30,2.183,0.366,0.157,0.366,0.23,0.133,0.114
20,flory bidunga,C,Kansas,picks_15_30,picks_15_30,2.183,0.252,0.237,0.205,0.252,0.208,0.099
21,christian anderson,PG,Texas Tech,picks_6_14,picks_15_30,2.163,0.246,0.229,0.246,0.208,0.189,0.128
22,dailyn swain,SF,Texas,picks_15_30,picks_15_30,1.964,0.299,0.177,0.22,0.299,0.183,0.121
23,malachi moreno,C,Kentucky,picks_6_14,picks_15_30,1.939,0.407,0.077,0.407,0.27,0.118,0.129
24,labaron philon,PG,Alabama,picks_6_14,picks_15_30,1.899,0.285,0.154,0.285,0.219,0.193,0.149
25,billy richmond,SF,Arkansas,picks_15_30,picks_15_30,1.812,0.311,0.135,0.232,0.311,0.197,0.125
26,aday mara,C,Michigan,picks_6_14,picks_15_30,1.77,0.349,0.134,0.349,0.147,0.138,0.233
27,jacob cofie,PF,USC,picks_15_30,picks_15_30,1.688,0.303,0.109,0.235,0.303,0.225,0.128
28,meleek thomas,SG,Arkansas,picks_15_30,picks_15_30,1.667,0.331,0.081,0.276,0.331,0.166,0.146
29,isaiah evans,SG,Duke,picks_15_30,picks_15_30,1.663,0.288,0.108,0.256,0.288,0.179,0.169
30,zuby ejiofor,C,St. John's,picks_15_30,picks_15_30,1.642,0.312,0.131,0.174,0.312,0.255,0.129
31,yaxel lendeborg,PF,Michigan,picks_6_14,second_round,1.561,0.258,0.114,0.258,0.2,0.228,0.199
32,rueben chinyelu,C,Florida,second_round,second_round,1.336,0.32,0.129,0.153,0.188,0.32,0.21
33,tarris reed,C,Connecticut,second_round,second_round,1.328,0.324,0.1,0.176,0.215,0.324,0.184
34,matthew able,SG,N.C. State,picks_15_30,second_round,1.321,0.406,0.041,0.184,0.406,0.216,0.153
