name,draft_year,overall_pick,position,organization,organization_type,draft_team_abbreviation,height_wo_shoes_in,height_w_shoes_in,weight_lbs,wingspan_in,standing_reach_in,body_fat_pct,hand_length_in,hand_width_in,standing_vertical_leap_in,max_vertical_leap_in,lane_agility_time_sec,modified_lane_agility_time_sec,three_quarter_sprint_sec,bench_press_reps
kenyon martin,2000,1,,Cincinnati,College/University,NJN,,,,,,,,,,,,,,
stromile swift,2000,2,,Louisiana State,College/University,VAN,,,,,,,,,,,,,,
darius miles,2000,3,,East St. Louis,High School,LAC,,,,,,,,,,,,,,
marcus fizer,2000,4,,Iowa State,College/University,CHI,,,,,,,,,,,,,,
mike miller,2000,5,,Florida,College/University,ORL,,,,,,,,,,,,,,
dermarr johnson,2000,6,,Cincinnati,College/University,ATL,,,,,,,,,,,,,,
chris mihm,2000,7,,Texas,College/University,CHI,,,,,,,,,,,,,,
jamal crawford,2000,8,PG-SG,Michigan,College/University,CLE,76.5,,175.0,82.0,102.5,,,,,,,,,0.0
joel przybilla,2000,9,,Minnesota,College/University,HOU,,,,,,,,,,,,,,
keyon dooling,2000,10,,Missouri,College/University,ORL,,,,,,,,,,,,,,
jerome moiso,2000,11,,California-Los Angeles,College/University,BOS,,,,,,,,,,,,,,
etan thomas,2000,12,,Syracuse,College/University,DAL,,,,,,,,,,,,,,
courtney alexander,2000,13,,Fresno State,College/University,ORL,,,,,,,,,,,,,,
mateen cleaves,2000,14,,Michigan State,College/University,DET,,,,,,,,,,,,,,
jason collier,2000,15,,Georgia Tech,College/University,MIL,,,,,,,,,,,,,,
hedo turkoglu,2000,16,,Anadolu Efes S.K. (Turkey),Other Team/Club,SAC,,,,,,,,,,,,,,
desmond mason,2000,17,,Oklahoma State,College/University,SEA,,,,,,,,,,,,,,
quentin richardson,2000,18,,DePaul,College/University,LAC,,,,,,,,,,,,,,
jamaal magloire,2000,19,,Kentucky,College/University,CHH,,,,,,,,,,,,,,
speedy claxton,2000,20,PG,Hofstra,College/University,PHI,70.5,,166.0,72.0,94.5,,,,36.0,42.5,10.48,,3.06,6.0
morris peterson,2000,21,,Michigan State,College/University,TOR,,,,,,,,,,,,,,
donnell harvey,2000,22,PF,Florida,College/University,NYK,79.25,,220.0,84.5,105.5,,,,33.0,32.5,11.23,,,15.0
deshawn stevenson,2000,23,,Washington Union,High School,UTA,,,,,,,,,,,,,,
dalibor bagaric,2000,24,,KK Dubrava (Croatia),Other Team/Club,CHI,,,,,,,,,,,,,,
jake tsakalidis,2000,25,,A.E.K. Athens B.C. (Greece),Other Team/Club,PHX,,,,,,,,,,,,,,
mamadou n diaye,2000,26,,Auburn,College/University,DEN,,,,,,,,,,,,,,
primoz brezec,2000,27,C,KK Olimpija (Slovenia),Other Team/Club,IND,84.75,,243.0,86.0,110.0,,,,26.0,29.5,11.53,,3.55,
erick barkley,2000,28,,St. John's (NY),College/University,POR,,,,,,,,,,,,,,
mark madsen,2000,29,PF,Stanford,College/University,LAL,80.0,,236.5,84.5,104.5,,,,30.5,33.5,12.12,,3.46,13.0
marko jaric,2000,30,SG-SF,Fortitudo Pallacanestro Bologna (Italy),Other Team/Club,LAC,78.5,,210.0,81.0,104.0,,,,27.5,33.0,11.32,,3.28,
dan langhi,2000,31,SF,Vanderbilt,College/University,DAL,81.0,,197.5,80.0,104.0,,,,31.0,34.5,10.85,,3.24,12.0
a j guyton,2000,32,PG-SG,Indiana,College/University,CHI,72.75,,175.0,75.75,97.5,,,,33.0,37.5,10.55,,3.22,9.0
jake voskuhl,2000,33,,Connecticut,College/University,CHI,,,,,,,,,,,,,,
khalid el amin,2000,34,PG,Connecticut,College/University,CHI,69.0,,200.0,73.5,93.0,,,,27.5,32.0,10.59,,3.32,6.0
mike smith,2000,35,SF,Louisiana-Monroe,College/University,WAS,78.5,,198.0,80.5,103.0,,,,33.0,21.0,11.32,,3.22,12.0
soumaila samake,2000,36,,Cincinnati Stuff (IBL),Other Team/Club,NJN,,,,,,,,,,,,,,
eddie house,2000,37,SG-PG,Arizona State,College/University,MIA,71.75,,176.5,75.5,95.0,,,,29.5,38.5,11.12,,3.27,5.0
