name,draft_year,overall_pick,birth_date,draft_date,draft_age,birth_date_source,birth_date_confidence,age_validation_status
kenyon martin,2000,1.0,1977-12-30,2000-06-28,22.494,nba_api_commonplayerinfo,high,valid_nba_api
stromile swift,2000,2.0,1979-11-21,2000-06-28,20.602,nba_api_commonplayerinfo,high,valid_nba_api
darius miles,2000,3.0,1981-10-09,2000-06-28,18.719,nba_api_commonplayerinfo,high,valid_nba_api
marcus fizer,2000,4.0,1978-08-10,2000-06-28,21.884,nba_api_commonplayerinfo,high,valid_nba_api
mike miller,2000,5.0,1980-02-19,2000-06-28,20.356,nba_api_commonplayerinfo,high,valid_nba_api
dermarr johnson,2000,6.0,1980-05-05,2000-06-28,20.148,nba_api_commonplayerinfo,high,valid_nba_api
chris mihm,2000,7.0,1979-07-16,2000-06-28,20.953,nba_api_commonplayerinfo,high,valid_nba_api
jamal crawford,2000,8.0,1980-03-20,2000-06-28,20.274,nba_api_commonplayerinfo,high,valid_nba_api
joel przybilla,2000,9.0,1979-10-10,2000-06-28,20.717,nba_api_commonplayerinfo,high,valid_nba_api
keyon dooling,2000,10.0,1980-05-08,2000-06-28,20.14,nba_api_commonplayerinfo,high,valid_nba_api
jerome moiso,2000,11.0,1978-06-15,2000-06-28,22.037,nba_api_commonplayerinfo,high,valid_nba_api
etan thomas,2000,12.0,1978-04-01,2000-06-28,22.242,nba_api_commonplayerinfo,high,valid_nba_api
courtney alexander,2000,13.0,1977-04-27,2000-06-28,23.17,nba_api_commonplayerinfo,high,valid_nba_api
mateen cleaves,2000,14.0,1977-09-07,2000-06-28,22.806,nba_api_commonplayerinfo,high,valid_nba_api
jason collier,2000,15.0,1977-09-08,2000-06-28,22.804,nba_api_commonplayerinfo,high,valid_nba_api
hedo turkoglu,2000,16.0,1979-03-19,2000-06-28,21.279,nba_api_commonplayerinfo,high,valid_nba_api
desmond mason,2000,17.0,1977-10-11,2000-06-28,22.713,nba_api_commonplayerinfo,high,valid_nba_api
quentin richardson,2000,18.0,1980-04-13,2000-06-28,20.208,nba_api_commonplayerinfo,high,valid_nba_api
jamaal magloire,2000,19.0,1978-05-21,2000-06-28,22.105,nba_api_commonplayerinfo,high,valid_nba_api
speedy claxton,2000,20.0,1978-05-08,2000-06-28,22.141,nba_api_commonplayerinfo,high,valid_nba_api
morris peterson,2000,21.0,1977-08-26,2000-06-28,22.839,nba_api_commonplayerinfo,high,valid_nba_api
donnell harvey,2000,22.0,1980-08-26,2000-06-28,19.838,nba_api_commonplayerinfo,high,valid_nba_api
deshawn stevenson,2000,23.0,1981-04-03,2000-06-28,19.236,nba_api_commonplayerinfo,high,valid_nba_api
dalibor bagaric,2000,24.0,1980-07-02,2000-06-28,19.989,nba_api_commonplayerinfo,high,valid_nba_api
jake tsakalidis,2000,25.0,1979-06-10,2000-06-28,21.051,nba_api_commonplayerinfo,high,valid_nba_api
