name,draft_year,overall_pick,birth_date,draft_age,source_url,realgm_display_name,current_team,pre_draft_team,name_score,context_score,status
aaron nkrumah,2026,,2001-11-26,24.572,https://basketball.realgm.com/player/Aaron-Nkrumah/Summary/209094,Aaron Nkrumah,Tennessee State,Tennessee State,100.0,100.0,accepted_realgm_indexed_override
aday mara,2026,,2005-04-07,21.21,https://basketball.realgm.com/player/Aday-Mara/Bio/177830,Aday Mara,Michigan,Michigan,100.0,100.0,accepted_realgm_indexed_override
alex karaban,2026,,2002-11-11,23.614,https://basketball.realgm.com/player/Alex-Karaban/Summary/151218,Alex Karaban,UConn,UConn,100.0,88.88888888888889,accepted_realgm_indexed_override
allen graves,2026,,2006-07-28,19.904,https://basketball.realgm.com/player/Allen-Graves/Summary/217588,Allen Graves,Santa Clara,Santa Clara,100.0,100.0,accepted_realgm_indexed_override
amari allen,2026,,2006-01-26,20.405,https://basketball.realgm.com/player/Amari-Allen/Bio/202294,Amari Allen,Alabama,Alabama,100.0,100.0,accepted_realgm_indexed_override
andrej stojakovic,2026,,2004-08-17,21.848,https://basketball.realgm.com/player/Andrej-Stojakovic/Bio/192061,Andrej Stojakovic,Illinois,Illinois,100.0,100.0,accepted_realgm_indexed_override
anicet dybantsa,2026,,2007-01-29,19.398,https://basketball.realgm.com/player/AJ-Dybantsa/Summary/186435,A.J. Dybantsa,Brigham Young,Brigham Young,100.0,66.66666666666667,accepted_realgm_indexed_override
baba miller,2026,,2004-02-07,22.374,https://basketball.realgm.com/player/Baba-Miller/Bio/165593,Baba Miller,Cincinnati,Cincinnati,100.0,100.0,accepted_realgm_indexed_override
bennett stirtz,2026,,2003-10-03,22.721,https://basketball.realgm.com/player/Bennett-Stirtz/Bio/201012,Bennett Stirtz,Iowa,Iowa,100.0,100.0,accepted_realgm_indexed_override
billy richmond,2026,,2006-04-11,20.2,https://basketball.realgm.com/info/birth_cities/88/Memphis-TN-United-States,Billy Richmond III,Arkansas,Arkansas,100.0,100.0,accepted_realgm_indexed_override
braden smith,2026,,2003-07-25,22.913,https://basketball.realgm.com/info/birth_cities/4690/Westfield-IN-United-States,Braden Smith,Purdue,Purdue,100.0,100.0,accepted_realgm_indexed_override
brayden burries,2026,,2005-09-18,20.761,https://basketball.realgm.com/player/Brayden-Burries/Bio/200247,Brayden Burries,Arizona,Arizona,100.0,100.0,accepted_realgm_indexed_override
bruce thornton,2026,,2003-09-14,22.773,https://basketball.realgm.com/info/birth_cities/1938/Alpharetta-GA-United-States,Bruce Thornton,Ohio State,Ohio State,100.0,100.0,accepted_realgm_indexed_override
bryce hopkins,2026,,2001-09-07,24.791,https://basketball.realgm.com/ncaa/conferences/American-Athletic-Conference/4/St-Johns/75/rosters,Bryce Hopkins,St. John's,St. John's,100.0,100.0,accepted_realgm_indexed_override
caleb wilson,2026,,2006-07-18,19.932,https://basketball.realgm.com/player/Caleb-Wilson/Bio/200430,Caleb Wilson,North Carolina,North Carolina,100.0,100.0,accepted_realgm_indexed_override
cameron boozer,2026,,2007-07-18,18.932,https://basketball.realgm.com/player/Cameron-Boozer/Summary/184287,Cameron Boozer,Duke,Duke,100.0,100.0,accepted_realgm_indexed_override
cameron carr,2026,,2004-11-21,21.585,https://basketball.realgm.com/player/Cameron-Carr/Summary/196892,Cameron Carr,Baylor,Baylor,100.0,100.0,accepted_realgm_indexed_override
christian anderson,2026,,2006-04-02,20.225,https://basketball.realgm.com/player/Christian-Anderson-Jr/Bio/187435,"Christian Anderson, Jr.",Texas Tech,Texas Tech,100.0,100.0,accepted_realgm_indexed_override
christopher brown,2026,,2006-04-03,20.222,https://basketball.realgm.com/player/Mikel-Brown-Jr/Bests/198014,Mikel Brown Jr.,Louisville,Louisville,100.0,100.0,accepted_realgm_indexed_override
christopher cenac,2026,,2007-01-31,19.392,https://basketball.realgm.com/player/Chris-Cenac-Jr/Summary/198525,"Chris Cenac, Jr.",Houston,Houston,100.0,100.0,accepted_realgm_indexed_override
dailyn swain,2026,,2005-07-15,20.939,https://basketball.realgm.com/player/Dailyn-Swain/Bio/192066,Dailyn Swain,Texas,Texas,100.0,100.0,accepted_realgm_indexed_override
darius acuff,2026,,2006-11-16,19.6,https://basketball.realgm.com/player/Darius-Acuff-Jr/Bio/216187,"Darius Acuff, Jr.",Arkansas,Arkansas,100.0,100.0,accepted_realgm_indexed_override
darryn peterson,2026,,2007-01-17,19.431,https://basketball.realgm.com/player/Darryn-Peterson/Bio/196886,Darryn Peterson,Kansas,Kansas,100.0,100.0,accepted_realgm_indexed_override
dillon mitchell,2026,,2003-10-03,22.721,https://basketball.realgm.com/player/Dillon-Mitchell/Summary/176104,Dillon Mitchell,St. John's,St. John's,100.0,100.0,accepted_realgm_indexed_override
ebuka okorie,2026,,2007-04-10,19.203,https://basketball.realgm.com/player/Ebuka-Okorie/Bio/193635,Ebuka Okorie,Stanford,Stanford,100.0,100.0,accepted_realgm_indexed_override
emanuel sharp,2026,,2004-03-07,22.294,https://basketball.realgm.com/player/Emanuel-Sharp/Bio/138743,Emanuel Sharp,Houston,Houston,100.0,100.0,accepted_realgm_indexed_override
felix okpara,2026,,2004-04-20,22.174,https://basketball.realgm.com/player/Felix-Okpara/Comparison/150125/Brandon-Garrison/180396,Felix Okpara,Tennessee,Tennessee,100.0,100.0,accepted_realgm_indexed_override
flory bidunga,2026,,2005-05-20,21.092,https://basketball.realgm.com/ncaa/players/2026/B,Flory Bidunga,Kansas,Kansas,100.0,100.0,accepted_realgm_indexed_override
izaiyah nelson,2026,,2003-10-01,22.727,https://basketball.realgm.com/info/birthdays/20031001/1,Izaiyah Nelson,South Florida,South Florida,100.0,100.0,accepted_realgm_indexed_override
jeremy fears,2026,,2005-04-19,21.177,https://basketball.realgm.com/player/Jeremy-Fears-Jr/Bio/162124,"Jeremy Fears, Jr.",Michigan State,Michigan State,100.0,100.0,accepted_realgm_indexed_override
john blackwell,2026,,2004-12-25,21.492,https://basketball.realgm.com/ncaa/players/2026/B,John Blackwell,Wisconsin,Wisconsin,100.0,100.0,accepted_realgm_indexed_override
joshua jefferson,2026,,2003-11-21,22.587,https://basketball.realgm.com/info/birthdays/20031121/1,Joshua Jefferson,Iowa State,Iowa State,100.0,100.0,accepted_realgm_indexed_override
karim lopez,2026,,2007-04-12,19.198,https://basketball.realgm.com/player/Karim-Lopez/Bio/199566,Karim Lopez,New Zealand,New Zealand,100.0,100.0,accepted_realgm_indexed_override
