name,draft_year,sportsref_player_raw,sportsref_url,sportsref_match_method,sportsref_match_score,sportsref_school,sportsref_conf,sportsref_season,sportsref_games,sportsref_games_started,sportsref_mpg,sportsref_ppg,sportsref_rpg,sportsref_apg,sportsref_spg,sportsref_bpg,sportsref_tpg,sportsref_fg_pct,sportsref_two_pct,sportsref_three_pct,sportsref_ft_pct
a j guyton,2000,a j guyton,https://www.sports-reference.com/cbb/players/aj-guyton-1.html,slug_search,100.0,Indiana,Big Ten,1999-00,29.0,29.0,34.3,19.7,3.1,2.3,1.0,0.4,2.4,0.459,0.485,0.419,0.789
brian cardinal,2000,brian cardinal,https://www.sports-reference.com/cbb/players/brian-cardinal-1.html,slug_search,100.0,Purdue,Big Ten,1999-00,32.0,29.0,29.5,13.9,6.3,2.2,2.0,0.3,2.3,0.411,0.455,0.339,0.769
chris carrawell,2000,chris carrawell,https://www.sports-reference.com/cbb/players/chris-carrawell-1.html,slug_search,100.0,Duke,ACC,1999-00,34.0,34.0,35.6,16.9,6.1,3.2,1.0,1.1,2.0,0.486,0.51,0.377,0.778
chris mihm,2000,chris mihm,https://www.sports-reference.com/cbb/players/chris-mihm-1.html,slug_search,100.0,Texas,Big 12,1999-00,33.0,33.0,30.7,17.7,10.5,0.7,0.3,2.7,2.5,0.523,0.525,0.467,0.707
chris porter,2000,chris porter,https://www.sports-reference.com/cbb/players/chris-porter-1.html,slug_search,100.0,Auburn,SEC,1999-00,26.0,26.0,29.0,14.6,7.3,1.2,2.0,0.3,2.1,0.464,0.477,0.235,0.676
courtney alexander,2000,courtney alexander,https://www.sports-reference.com/cbb/players/courtney-alexander-1.html,slug_search,100.0,Fresno St.,WAC,1999-00,27.0,27.0,36.1,24.8,4.7,3.5,1.4,0.1,2.5,0.447,0.499,0.331,0.781
dan langhi,2000,dan langhi,https://www.sports-reference.com/cbb/players/dan-langhi-1.html,slug_search,100.0,Vanderbilt,SEC,1999-00,30.0,29.0,34.4,22.1,6.0,0.8,0.4,0.3,1.8,0.477,0.511,0.403,0.871
dan mcclintock,2000,dan mcclintock,https://www.sports-reference.com/cbb/players/dan-mcclintock-1.html,slug_search,100.0,Northern Ariz.,Big Sky,1999-00,31.0,31.0,24.3,15.6,6.5,1.2,0.4,2.3,1.8,0.597,0.597,,0.682
dermarr johnson,2000,dermarr johnson,https://www.sports-reference.com/cbb/players/dermarr-johnson-1.html,slug_search,100.0,Cincinnati,CUSA,1999-00,32.0,32.0,27.5,12.6,3.8,1.4,1.0,0.9,1.4,0.478,0.575,0.371,0.737
desmond mason,2000,desmond mason,https://www.sports-reference.com/cbb/players/desmond-mason-1.html,slug_search,100.0,Oklahoma St.,Big 12,1999-00,34.0,34.0,35.4,18.0,6.6,1.5,1.2,1.0,1.8,0.499,0.536,0.43,0.767
